image,object_type,object_name,eccentricity,bbox_x,bbox_y,bbox_width,bbox_height,padded_size
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1569_2641.png,0.13706074374254007,1569,2641,15,14,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_187_2740.png,0.13706074374254007,187,2740,15,14,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2520_2772.png,0.16766471453647833,2520,2772,20,20,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1372_2900.png,0.3496128569990035,1372,2900,14,13,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1809_3277.png,0.1769517737740309,1809,3277,12,11,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1586_3363.png,0.14765767644955866,1586,3363,16,16,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3777_3398.png,0.23795667662995904,3777,3398,19,19,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1899_3492.png,0.21637903417451515,1899,3492,10,10,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_924_3505.png,0.2076409278296758,924,3505,17,16,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3163_3740.png,0.20797260347681049,3163,3740,17,16,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2416_3776.png,0.21111299838868794,2416,3776,14,15,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1910_4150.png,0.1931750210641874,1910,4150,15,14,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1809_188.png,0.16833033988836524,1809,188,14,14,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2487_504.png,0.1979302221676257,2487,504,11,11,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1929_532.png,0.20946275056592684,1929,532,12,12,128
Raw_Observation_003_Set1.tiff,streak,streak_Raw_Observation_003_Set1_1668_689.png,0.9578598334039052,1668,689,18,5,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1062_764.png,0.11630177076024446,1062,764,19,19,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3697_888.png,0.11984703523598579,3697,888,13,13,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1978_947.png,0.17767853874377798,1978,947,10,11,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3579_958.png,0.45311279142724553,3579,958,11,12,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3516_967.png,0.35444844231049955,3516,967,10,11,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2889_971.png,0.18021459507796653,2889,971,12,12,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3458_1083.png,0.2648249355714195,3458,1083,11,10,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3448_1147.png,0.12699210312708947,3448,1147,13,12,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2353_1194.png,0.2753833599349214,2353,1194,10,11,128
Raw_Observation_003_Set1.tiff,streak,streak_Raw_Observation_003_Set1_1387_1377.png,0.9821891173014332,1387,1377,98,28,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_191_1383.png,0.2111129983886874,191,1383,15,14,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3292_1429.png,0.268139302048869,3292,1429,12,12,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1242_1435.png,0.2752693505653315,1242,1435,12,12,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2470_1653.png,0.19323037441388538,2470,1653,12,11,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2177_1959.png,0.20081879523425383,2177,1959,10,10,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3227_2459.png,0.2145458244705866,3227,2459,13,13,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_678_2494.png,0.3640487281069278,678,2494,12,13,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3472_2595.png,0.35554651003816956,3472,2595,9,10,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1568_2642.png,0.18491047076540992,1568,2642,15,14,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_186_2740.png,0.23378278822058665,186,2740,15,15,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2519_2773.png,0.15558889707017776,2519,2773,20,20,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1371_2901.png,0.34342466054469234,1371,2901,14,13,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_4072_3196.png,0.15318228175468648,4072,3196,10,10,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1808_3278.png,0.17943918980518705,1808,3278,12,11,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1585_3364.png,0.14765767644955866,1585,3364,16,16,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3776_3399.png,0.11838754117651842,3776,3399,20,19,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1898_3493.png,0.15515875253037176,1898,3493,10,10,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_923_3506.png,0.2047513800214878,923,3506,17,16,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_3162_3741.png,0.12594520472281992,3162,3741,17,16,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_2415_3777.png,0.2864835589920188,2415,3777,14,15,128
Raw_Observation_003_Set1.tiff,star,star_Raw_Observation_003_Set1_1908_4150.png,0.13390556473327506,1908,4150,16,16,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1810_188.png,0.2403880815972882,1810,188,14,14,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2487_504.png,0.30939432066888056,2487,504,12,12,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1929_531.png,0.23524981521515245,1929,531,13,13,128
Raw_Observation_004_Set1.tiff,streak,streak_Raw_Observation_004_Set1_1709_689.png,0.960679310874675,1709,689,18,5,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1063_764.png,0.24227635970819839,1063,764,19,18,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3697_888.png,0.14395909251840763,3697,888,13,13,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1978_947.png,0.29518674973492254,1978,947,11,10,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3579_958.png,0.4790566686299554,3579,958,12,12,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3378_964.png,0.39158170345860555,3378,964,10,9,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3516_967.png,0.1194789305062459,3516,967,11,11,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2890_971.png,0.17481774530385796,2890,971,12,12,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3459_1083.png,0.20884541340745058,3459,1083,10,11,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3449_1147.png,0.23095062999661617,3449,1147,13,13,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2353_1194.png,0.05590868846039464,2353,1194,11,11,128
Raw_Observation_004_Set1.tiff,streak,streak_Raw_Observation_004_Set1_1559_1355.png,0.9834890144485816,1559,1355,100,28,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_191_1382.png,0.26829202582694606,191,1382,15,15,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3293_1429.png,0.2784560462563074,3293,1429,11,12,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1243_1434.png,0.07304771303365012,1243,1434,12,12,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2471_1653.png,0.19323037441388538,2471,1653,12,11,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2178_1958.png,0.20390653567185935,2178,1958,10,11,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3227_2460.png,0.2403873227373475,3227,2460,13,13,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_679_2494.png,0.400666553364596,679,2494,11,12,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3472_2595.png,0.2605781753263683,3472,2595,10,10,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1569_2642.png,0.0956227913341579,1569,2642,14,14,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_187_2740.png,0.1825778818824052,187,2740,14,14,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2520_2773.png,0.15876678053773668,2520,2773,20,20,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1372_2901.png,0.3509165852374882,1372,2901,14,13,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1809_3278.png,0.1451386027694599,1809,3278,12,11,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1586_3365.png,0.25097649143885137,1586,3365,16,15,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3778_3399.png,0.06917532581684593,3778,3399,19,19,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1899_3493.png,0.2675862412900976,1899,3493,10,10,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_924_3505.png,0.2096262866608711,924,3505,17,17,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_3163_3741.png,0.24119855780229935,3163,3741,17,16,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_2416_3777.png,0.21111299838868794,2416,3777,14,15,128
Raw_Observation_004_Set1.tiff,star,star_Raw_Observation_004_Set1_1910_4151.png,0.16037539347972907,1910,4151,14,14,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1811_188.png,0.2161744080317953,1811,188,14,14,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2488_504.png,0.15422710847346457,2488,504,12,12,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1930_532.png,0.023695289515549812,1930,532,12,12,128
Raw_Observation_005_Set1.tiff,streak,streak_Raw_Observation_005_Set1_1750_689.png,0.9624013109420597,1750,689,19,5,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1064_764.png,0.2422763597081977,1064,764,18,19,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3698_889.png,0.16522663307686233,3698,889,13,13,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1979_947.png,0.20725070327413647,1979,947,11,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3580_959.png,0.46521741750199175,3580,959,12,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3378_964.png,0.2769311045619319,3378,964,10,10,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3517_967.png,0.0624254789223078,3517,967,11,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2890_971.png,0.13317019182271655,2890,971,12,13,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3459_1083.png,0.0,3459,1083,11,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3449_1147.png,0.25564725373649594,3449,1147,13,13,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2354_1195.png,0.0,2354,1195,10,10,128
Raw_Observation_005_Set1.tiff,streak,streak_Raw_Observation_005_Set1_1734_1333.png,0.9834320463979047,1734,1333,101,28,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_192_1383.png,0.26917406556102863,192,1383,15,14,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3293_1430.png,0.30875574929289495,3293,1430,12,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1243_1435.png,0.18615796616317817,1243,1435,12,12,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2471_1653.png,0.25505680879729925,2471,1653,12,12,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2179_1959.png,0.15515875253037031,2179,1959,10,10,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3228_2460.png,0.11337429888029532,3228,2460,13,13,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_680_2495.png,0.06995086756641243,680,2495,11,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3473_2595.png,0.16854807018558768,3473,2595,10,10,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1570_2642.png,0.1683303398883649,1570,2642,14,14,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_188_2740.png,0.1974540261565,188,2740,14,14,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2520_2773.png,0.1382815832866092,2520,2773,21,20,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1373_2902.png,0.3642712989238271,1373,2902,13,12,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1809_3278.png,0.2413994085041491,1809,3278,12,11,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1587_3365.png,0.13303522795017267,1587,3365,15,15,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3777_3400.png,0.2305112490970433,3777,3400,19,19,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1899_3493.png,0.26758624129009656,1899,3493,10,10,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_924_3506.png,0.08962172239495578,924,3506,17,16,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_3163_3741.png,0.1330458494630654,3163,3741,17,17,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_2416_3777.png,0.06524629140087312,2416,3777,15,15,128
Raw_Observation_005_Set1.tiff,star,star_Raw_Observation_005_Set1_1910_4151.png,0.16037539347972907,1910,4151,14,14,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1812_187.png,0.20706229432092257,1812,187,14,14,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2489_504.png,0.30875574929289495,2489,504,12,11,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1931_531.png,0.122945787822553,1931,531,12,12,128
Raw_Observation_006_Set1.tiff,streak,streak_Raw_Observation_006_Set1_1791_689.png,0.9614997898945007,1791,689,19,5,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1065_763.png,0.020544945582857344,1065,763,18,18,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3699_888.png,0.18713582449002544,3699,888,13,13,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1980_946.png,0.30693626644019356,1980,946,10,11,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3581_959.png,0.43759241948549754,3581,959,11,11,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3518_967.png,0.20884541340745058,3518,967,10,11,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2891_971.png,0.0,2891,971,12,12,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3460_1083.png,0.2681303124219672,3460,1083,10,10,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3450_1147.png,0.2205467464118931,3450,1147,13,12,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2355_1194.png,0.22446236118371996,2355,1194,10,10,128
Raw_Observation_006_Set1.tiff,streak,streak_Raw_Observation_006_Set1_1912_1312.png,0.9845911769732109,1912,1312,102,27,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_193_1381.png,0.24746827556531126,193,1381,14,15,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3294_1429.png,0.17943918980518767,3294,1429,11,12,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1244_1434.png,0.25505680879729925,1244,1434,12,12,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2472_1652.png,0.304372425896136,2472,1652,12,12,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2179_1958.png,0.26057222811096303,2179,1958,10,10,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3228_2460.png,0.2998386265604154,3228,2460,13,12,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_681_2494.png,0.21030852244144885,681,2494,10,10,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1570_2641.png,0.21229988540599204,1570,2641,14,14,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_188_2739.png,0.1825778818824052,188,2739,14,14,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2520_2772.png,0.14016114628154053,2520,2772,21,21,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1373_2900.png,0.3593396432037881,1373,2900,13,13,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_4074_3197.png,0.35554651003816956,4074,3197,9,10,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1810_3277.png,0.35365068199245026,1810,3277,11,11,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1586_3363.png,0.1473492347969595,1586,3363,16,16,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3778_3399.png,0.2167646648443726,3778,3399,19,19,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1899_3493.png,0.35554651003816967,1899,3493,10,9,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_925_3504.png,0.19563295915450224,925,3504,16,17,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_3163_3741.png,0.130933015652266,3163,3741,17,16,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_2416_3777.png,0.24702886083111095,2416,3777,14,15,128
Raw_Observation_006_Set1.tiff,star,star_Raw_Observation_006_Set1_1910_4150.png,0.1825778818824049,1910,4150,14,14,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_1814_188.png,0.27548250586892986,1814,188,14,14,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_2491_504.png,0.23404687465578383,2491,504,11,12,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_1933_532.png,0.18615796616317817,1933,532,12,12,128
Raw_Observation_007_Set1.tiff,streak,streak_Raw_Observation_007_Set1_1833_689.png,0.9607970677464642,1833,689,18,5,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_1066_763.png,0.21908747473160453,1066,763,19,19,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_3701_889.png,0.2914457529720282,3701,889,12,13,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_1982_947.png,0.20680590161279763,1982,947,10,10,128
Raw_Observation_007_Set1.tiff,star,star_Raw_Observation_007_Set1_3583_960.png,0.4190989709521774,3583,960,11,11,128
