image,bbox_x,bbox_y,bbox_width,bbox_height,object_type
Raw_Observation_001_Set1_3072_1536.tiff,50,294,15,15,star
Raw_Observation_001_Set1_3072_1536.tiff,362,422,10,10,star
Raw_Observation_001_Set1_3072_3584.tiff,193,327,19,19,star
Raw_Observation_001_Set1_3584_2048.tiff,367,194,15,15,star
Raw_Observation_001_Set1_3584_3072.tiff,91,157,16,17,star
Raw_Observation_001_Set1_4096_1536.tiff,374,56,14,14,star
Raw_Observation_002_Set1_0_1536.tiff,273,187,14,14,star
Raw_Observation_002_Set1_0_2048.tiff,439,503,11,9,star
Raw_Observation_002_Set1_512_1024.tiff,38,251,19,19,star
Raw_Observation_002_Set1_512_1536.tiff,392,18,13,13,star
Raw_Observation_002_Set1_512_1536.tiff,91,177,18,6,streak
Raw_Observation_002_Set1_512_1536.tiff,442,434,10,11,star
Raw_Observation_002_Set1_512_2048.tiff,439,0,11,3,star
Raw_Observation_002_Set1_512_2560.tiff,329,458,12,12,star
Raw_Observation_002_Set1_512_3072.tiff,506,445,6,12,star
Raw_Observation_002_Set1_512_3072.tiff,305,451,10,9,star
Raw_Observation_002_Set1_512_3072.tiff,444,454,10,11,star
Raw_Observation_002_Set1_512_3584.tiff,113,375,13,12,star
Raw_Observation_002_Set1_512_3584.tiff,0,445,6,12,star
Raw_Observation_002_Set1_1024_0.tiff,191,358,15,15,star
Raw_Observation_002_Set1_1024_1024.tiff,194,375,97,27,streak
Raw_Observation_002_Set1_1024_1024.tiff,218,410,12,12,star
Raw_Observation_002_Set1_1024_2048.tiff,304,169,11,11,star
Raw_Observation_002_Set1_1024_3072.tiff,386,58,11,10,star
Raw_Observation_002_Set1_1024_3072.tiff,376,122,13,12,star
Raw_Observation_002_Set1_1024_3072.tiff,220,404,12,12,star
Raw_Observation_002_Set1_1536_2048.tiff,422,116,12,12,star
Raw_Observation_002_Set1_1536_2048.tiff,130,421,10,11,star
Raw_Observation_002_Set1_2048_512.tiff,167,446,12,12,star
Raw_Observation_002_Set1_2048_3072.tiff,155,410,13,14,star
Raw_Observation_002_Set1_2560_0.tiff,187,180,15,14,star
Raw_Observation_002_Set1_2560_1024.tiff,348,340,14,13,star
Raw_Observation_002_Set1_2560_1536.tiff,33,81,15,14,star
Raw_Observation_002_Set1_2560_2048.tiff,472,212,20,20,star
Raw_Observation_002_Set1_2560_3072.tiff,400,34,10,10,star
Raw_Observation_002_Set1_3072_512.tiff,412,433,17,16,star
Raw_Observation_002_Set1_3072_1536.tiff,273,205,12,11,star
Raw_Observation_002_Set1_3072_1536.tiff,50,291,16,16,star
Raw_Observation_002_Set1_3072_1536.tiff,363,420,10,10,star
Raw_Observation_002_Set1_3072_3584.tiff,193,326,19,19,star
Raw_Observation_002_Set1_3584_2048.tiff,368,192,14,15,star
Raw_Observation_002_Set1_3584_3072.tiff,91,156,17,16,star
Raw_Observation_002_Set1_4096_1536.tiff,374,54,15,14,star
Raw_Observation_003_Set1_0_1536.tiff,273,188,14,14,star
Raw_Observation_003_Set1_0_2048.tiff,439,504,11,8,star
Raw_Observation_003_Set1_512_1024.tiff,38,252,19,19,star
Raw_Observation_003_Set1_512_1536.tiff,393,20,12,12,star
Raw_Observation_003_Set1_512_1536.tiff,132,177,18,5,streak
Raw_Observation_003_Set1_512_1536.tiff,442,435,10,11,star
Raw_Observation_003_Set1_512_2048.tiff,439,0,11,3,star
Raw_Observation_003_Set1_512_2560.tiff,329,459,12,12,star
Raw_Observation_003_Set1_512_3072.tiff,507,446,5,12,star
Raw_Observation_003_Set1_512_3072.tiff,444,455,10,11,star
Raw_Observation_003_Set1_512_3584.tiff,113,376,13,13,star
Raw_Observation_003_Set1_512_3584.tiff,0,446,6,12,star
Raw_Observation_003_Set1_1024_0.tiff,191,359,15,14,star
Raw_Observation_003_Set1_1024_1024.tiff,363,353,98,28,streak
Raw_Observation_003_Set1_1024_1024.tiff,218,411,12,12,star
Raw_Observation_003_Set1_1024_2048.tiff,305,170,10,11,star
Raw_Observation_003_Set1_1024_3072.tiff,386,59,11,10,star
Raw_Observation_003_Set1_1024_3072.tiff,376,123,13,12,star
Raw_Observation_003_Set1_1024_3072.tiff,220,405,12,12,star
Raw_Observation_003_Set1_1536_2048.tiff,422,117,12,11,star
Raw_Observation_003_Set1_1536_2048.tiff,129,423,10,10,star
Raw_Observation_003_Set1_2048_512.tiff,166,446,12,13,star
Raw_Observation_003_Set1_2048_3072.tiff,155,411,13,13,star
Raw_Observation_003_Set1_2560_0.tiff,186,180,15,15,star
Raw_Observation_003_Set1_2560_1024.tiff,347,341,14,13,star
Raw_Observation_003_Set1_2560_1536.tiff,32,82,15,14,star
Raw_Observation_003_Set1_2560_2048.tiff,471,213,20,20,star
Raw_Observation_003_Set1_2560_3072.tiff,400,35,9,10,star
Raw_Observation_003_Set1_3072_512.tiff,411,434,17,16,star
Raw_Observation_003_Set1_3072_1536.tiff,272,206,12,11,star
Raw_Observation_003_Set1_3072_1536.tiff,49,292,16,16,star
Raw_Observation_003_Set1_3072_1536.tiff,362,421,10,10,star
Raw_Observation_003_Set1_3072_3584.tiff,488,124,10,10,star
Raw_Observation_003_Set1_3072_3584.tiff,192,327,20,19,star
Raw_Observation_003_Set1_3584_2048.tiff,367,193,14,15,star
Raw_Observation_003_Set1_3584_3072.tiff,90,157,17,16,star
Raw_Observation_003_Set1_4096_1536.tiff,372,54,16,16,star
Raw_Observation_004_Set1_0_1536.tiff,274,188,14,14,star
Raw_Observation_004_Set1_0_2048.tiff,439,504,12,8,star
Raw_Observation_004_Set1_512_1024.tiff,39,252,19,18,star
Raw_Observation_004_Set1_512_1536.tiff,393,19,13,13,star
Raw_Observation_004_Set1_512_1536.tiff,173,177,18,5,streak
Raw_Observation_004_Set1_512_1536.tiff,442,435,11,10,star
Raw_Observation_004_Set1_512_2048.tiff,439,0,12,4,star
Raw_Observation_004_Set1_512_2560.tiff,330,459,12,12,star
Raw_Observation_004_Set1_512_3072.tiff,507,446,5,12,star
Raw_Observation_004_Set1_512_3072.tiff,306,452,10,9,star
Raw_Observation_004_Set1_512_3072.tiff,444,455,11,11,star
Raw_Observation_004_Set1_512_3584.tiff,113,376,13,13,star
Raw_Observation_004_Set1_512_3584.tiff,0,446,7,12,star
Raw_Observation_004_Set1_1024_0.tiff,191,358,15,15,star
Raw_Observation_004_Set1_1024_1024.tiff,219,410,12,12,star
Raw_Observation_004_Set1_1024_1536.tiff,23,331,100,28,streak
Raw_Observation_004_Set1_1024_2048.tiff,305,170,11,11,star
Raw_Observation_004_Set1_1024_3072.tiff,387,59,10,11,star
Raw_Observation_004_Set1_1024_3072.tiff,377,123,13,13,star
Raw_Observation_004_Set1_1024_3072.tiff,221,405,11,12,star
Raw_Observation_004_Set1_1536_2048.tiff,423,117,12,11,star
Raw_Observation_004_Set1_1536_2048.tiff,130,422,10,11,star
Raw_Observation_004_Set1_2048_512.tiff,167,446,11,12,star
Raw_Observation_004_Set1_2048_3072.tiff,155,412,13,13,star
Raw_Observation_004_Set1_2560_0.tiff,187,180,14,14,star
Raw_Observation_004_Set1_2560_1024.tiff,348,341,14,13,star
Raw_Observation_004_Set1_2560_1536.tiff,33,82,14,14,star
Raw_Observation_004_Set1_2560_2048.tiff,472,213,20,20,star
Raw_Observation_004_Set1_2560_3072.tiff,400,35,10,10,star
Raw_Observation_004_Set1_3072_512.tiff,412,433,17,17,star
Raw_Observation_004_Set1_3072_1536.tiff,273,206,12,11,star
Raw_Observation_004_Set1_3072_1536.tiff,50,293,16,15,star
Raw_Observation_004_Set1_3072_1536.tiff,363,421,10,10,star
Raw_Observation_004_Set1_3072_3584.tiff,194,327,19,19,star
Raw_Observation_004_Set1_3584_2048.tiff,368,193,14,15,star
Raw_Observation_004_Set1_3584_3072.tiff,91,157,17,16,star
Raw_Observation_004_Set1_4096_1536.tiff,374,55,14,14,star
Raw_Observation_005_Set1_0_1536.tiff,275,188,14,14,star
Raw_Observation_005_Set1_0_2048.tiff,440,504,12,8,star
Raw_Observation_005_Set1_512_1024.tiff,40,252,18,19,star
Raw_Observation_005_Set1_512_1536.tiff,394,20,12,12,star
Raw_Observation_005_Set1_512_1536.tiff,214,177,19,5,streak
Raw_Observation_005_Set1_512_1536.tiff,443,435,11,11,star
Raw_Observation_005_Set1_512_2048.tiff,440,0,12,4,star
Raw_Observation_005_Set1_512_2560.tiff,330,459,12,13,star
Raw_Observation_005_Set1_512_3072.tiff,508,447,4,11,star
Raw_Observation_005_Set1_512_3072.tiff,306,452,10,10,star
Raw_Observation_005_Set1_512_3072.tiff,445,455,11,11,star
Raw_Observation_005_Set1_512_3584.tiff,114,377,13,13,star
Raw_Observation_005_Set1_512_3584.tiff,0,447,8,11,star
Raw_Observation_005_Set1_1024_0.tiff,192,359,15,14,star
Raw_Observation_005_Set1_1024_1024.tiff,219,411,12,12,star
Raw_Observation_005_Set1_1024_1536.tiff,198,309,101,28,streak
Raw_Observation_005_Set1_1024_2048.tiff,306,171,10,10,star
Raw_Observation_005_Set1_1024_3072.tiff,387,59,11,11,star
Raw_Observation_005_Set1_1024_3072.tiff,377,123,13,13,star
Raw_Observation_005_Set1_1024_3072.tiff,221,406,12,11,star
Raw_Observation_005_Set1_1536_2048.tiff,423,117,12,12,star
Raw_Observation_005_Set1_1536_2048.tiff,131,423,10,10,star
Raw_Observation_005_Set1_2048_512.tiff,168,447,11,11,star
Raw_Observation_005_Set1_2048_3072.tiff,156,412,13,13,star
Raw_Observation_005_Set1_2560_0.tiff,188,180,14,14,star
Raw_Observation_005_Set1_2560_1024.tiff,349,342,13,12,star
Raw_Observation_005_Set1_2560_1536.tiff,34,82,14,14,star
Raw_Observation_005_Set1_2560_2048.tiff,472,213,21,20,star
Raw_Observation_005_Set1_2560_3072.tiff,401,35,10,10,star
Raw_Observation_005_Set1_3072_512.tiff,412,434,17,16,star
Raw_Observation_005_Set1_3072_1536.tiff,273,206,12,11,star
Raw_Observation_005_Set1_3072_1536.tiff,51,293,15,15,star
Raw_Observation_005_Set1_3072_1536.tiff,363,421,10,10,star
Raw_Observation_005_Set1_3072_3584.tiff,193,328,19,19,star
Raw_Observation_005_Set1_3584_2048.tiff,368,193,15,15,star
Raw_Observation_005_Set1_3584_3072.tiff,91,157,17,17,star
Raw_Observation_005_Set1_4096_1536.tiff,374,55,14,14,star
Raw_Observation_006_Set1_0_1536.tiff,276,187,14,14,star
Raw_Observation_006_Set1_0_2048.tiff,441,504,12,8,star
Raw_Observation_006_Set1_512_1024.tiff,41,251,18,18,star
Raw_Observation_006_Set1_512_1536.tiff,395,19,12,12,star
Raw_Observation_006_Set1_512_1536.tiff,255,177,19,5,streak
Raw_Observation_006_Set1_512_1536.tiff,444,434,10,11,star
Raw_Observation_006_Set1_512_2048.tiff,441,0,12,3,star
Raw_Observation_006_Set1_512_2560.tiff,331,459,12,12,star
Raw_Observation_006_Set1_512_3072.tiff,509,447,3,11,star
Raw_Observation_006_Set1_512_3072.tiff,446,455,10,11,star
Raw_Observation_006_Set1_512_3584.tiff,115,376,13,13,star
Raw_Observation_006_Set1_512_3584.tiff,0,447,8,11,star
Raw_Observation_006_Set1_1024_0.tiff,193,357,14,15,star
Raw_Observation_006_Set1_1024_1024.tiff,220,410,12,12,star
Raw_Observation_006_Set1_1024_1536.tiff,376,288,102,27,streak
Raw_Observation_006_Set1_1024_2048.tiff,307,170,10,10,star
Raw_Observation_006_Set1_1024_3072.tiff,388,59,10,10,star
Raw_Observation_006_Set1_1024_3072.tiff,378,123,13,12,star
Raw_Observation_006_Set1_1024_3072.tiff,222,405,11,12,star
Raw_Observation_006_Set1_1536_2048.tiff,424,116,12,12,star
Raw_Observation_006_Set1_1536_2048.tiff,131,422,10,10,star
Raw_Observation_006_Set1_2048_512.tiff,169,446,10,10,star
Raw_Observation_006_Set1_2048_3072.tiff,156,412,13,12,star
Raw_Observation_006_Set1_2560_0.tiff,188,179,14,14,star
Raw_Observation_006_Set1_2560_1024.tiff,349,340,13,13,star
Raw_Observation_006_Set1_2560_1536.tiff,34,81,14,14,star
Raw_Observation_006_Set1_2560_2048.tiff,472,212,21,21,star
Raw_Observation_006_Set1_3072_512.tiff,413,432,16,17,star
Raw_Observation_006_Set1_3072_1536.tiff,274,205,11,11,star
Raw_Observation_006_Set1_3072_1536.tiff,50,291,16,16,star
Raw_Observation_006_Set1_3072_1536.tiff,363,421,10,9,star
Raw_Observation_006_Set1_3072_3584.tiff,490,125,9,10,star
Raw_Observation_006_Set1_3072_3584.tiff,194,327,19,19,star
Raw_Observation_006_Set1_3584_2048.tiff,368,193,14,15,star
Raw_Observation_006_Set1_3584_3072.tiff,91,157,17,16,star
Raw_Observation_006_Set1_4096_1536.tiff,374,54,14,14,star
Raw_Observation_007_Set1_0_1536.tiff,278,188,14,14,star
Raw_Observation_007_Set1_0_2048.tiff,443,504,11,8,star
Raw_Observation_007_Set1_512_1024.tiff,42,251,19,19,star
Raw_Observation_007_Set1_512_1536.tiff,397,20,12,12,star
Raw_Observation_007_Set1_512_1536.tiff,297,177,18,5,streak
Raw_Observation_007_Set1_512_1536.tiff,446,435,10,10,star
Raw_Observation_007_Set1_512_2048.tiff,443,0,11,4,star
Raw_Observation_007_Set1_512_2560.tiff,333,460,11,12,star
Raw_Observation_007_Set1_512_3072.tiff,448,457,10,10,star
Raw_Observation_007_Set1_512_3584.tiff,117,377,12,13,star
Raw_Observation_007_Set1_512_3584.tiff,0,448,10,11,star
Raw_Observation_007_Set1_1024_0.tiff,194,357,15,15,star
Raw_Observation_007_Set1_1024_1024.tiff,222,410,11,12,star
Raw_Observation_007_Set1_1024_2048.tiff,309,171,9,10,star
Raw_Observation_007_Set1_1024_2048.tiff,45,266,103,27,streak
Raw_Observation_007_Set1_1024_3072.tiff,390,61,10,9,star
Raw_Observation_007_Set1_1024_3072.tiff,380,124,12,12,star
Raw_Observation_007_Set1_1024_3072.tiff,224,407,11,11,star
Raw_Observation_007_Set1_1536_2048.tiff,426,117,11,12,star
Raw_Observation_007_Set1_2048_512.tiff,169,445,11,12,star
Raw_Observation_007_Set1_2048_3072.tiff,158,413,12,12,star
Raw_Observation_007_Set1_2560_0.tiff,189,179,14,14,star
Raw_Observation_007_Set1_2560_1024.tiff,350,341,13,13,star
Raw_Observation_007_Set1_2560_1536.tiff,35,82,14,14,star
Raw_Observation_007_Set1_2560_2048.tiff,474,213,20,21,star
Raw_Observation_007_Set1_3072_512.tiff,413,433,17,16,star
Raw_Observation_007_Set1_3072_1536.tiff,274,206,12,11,star
Raw_Observation_007_Set1_3072_1536.tiff,52,292,15,15,star
Raw_Observation_007_Set1_3072_3584.tiff,195,328,19,20,star
Raw_Observation_007_Set1_3584_2048.tiff,368,194,15,14,star
Raw_Observation_007_Set1_3584_3072.tiff,92,158,16,16,star
Raw_Observation_007_Set1_4096_1536.tiff,374,55,14,14,star
Raw_Observation_008_Set1_0_1536.tiff,278,187,14,14,star
Raw_Observation_008_Set1_0_2048.tiff,444,504,11,8,star
Raw_Observation_008_Set1_512_1024.tiff,43,251,18,18,star
Raw_Observation_008_Set1_512_1536.tiff,397,19,13,12,star
Raw_Observation_008_Set1_512_1536.tiff,338,177,18,5,streak
Raw_Observation_008_Set1_512_1536.tiff,446,435,11,10,star
Raw_Observation_008_Set1_512_2048.tiff,444,0,11,4,star
Raw_Observation_008_Set1_512_2560.tiff,333,460,12,12,star
Raw_Observation_008_Set1_512_3072.tiff,448,456,10,11,star
Raw_Observation_008_Set1_512_3584.tiff,117,377,13,13,star
Raw_Observation_008_Set1_512_3584.tiff,0,447,10,12,star
Raw_Observation_008_Set1_1024_0.tiff,195,357,14,14,star
Raw_Observation_008_Set1_1024_1024.tiff,222,410,12,11,star
Raw_Observation_008_Set1_1024_2048.tiff,309,170,10,11,star
Raw_Observation_008_Set1_1024_2048.tiff,228,244,105,27,streak
Raw_Observation_008_Set1_1024_3072.tiff,390,60,11,10,star
Raw_Observation_008_Set1_1024_3072.tiff,381,124,12,12,star
Raw_Observation_008_Set1_1024_3072.tiff,224,406,11,11,star
Raw_Observation_008_Set1_1536_2048.tiff,426,117,11,11,star
Raw_Observation_008_Set1_1536_2048.tiff,133,422,10,10,star
Raw_Observation_008_Set1_2048_512.tiff,170,445,11,11,star
Raw_Observation_008_Set1_2048_3072.tiff,158,412,13,13,star
Raw_Observation_008_Set1_2560_0.tiff,189,178,15,14,star
Raw_Observation_008_Set1_2560_1024.tiff,350,340,13,13,star
Raw_Observation_008_Set1_2560_1536.tiff,35,81,15,14,star
Raw_Observation_008_Set1_2560_2048.tiff,474,213,20,20,star
Raw_Observation_008_Set1_3072_512.tiff,413,432,17,16,star
Raw_Observation_008_Set1_3072_1536.tiff,275,205,11,11,star
Raw_Observation_008_Set1_3072_1536.tiff,52,292,15,15,star
Raw_Observation_008_Set1_3072_3584.tiff,195,328,19,19,star
Raw_Observation_008_Set1_3584_2048.tiff,368,193,15,15,star
Raw_Observation_008_Set1_3584_3072.tiff,92,158,16,16,star
Raw_Observation_008_Set1_4096_1536.tiff,374,54,14,14,star
Raw_Observation_009_Set1_0_1536.tiff,280,188,13,14,star
Raw_Observation_009_Set1_0_2048.tiff,444,505,12,7,star
Raw_Observation_009_Set1_512_1024.tiff,44,251,19,19,star
Raw_Observation_009_Set1_512_1536.tiff,398,20,13,12,star
Raw_Observation_009_Set1_512_1536.tiff,379,177,19,6,streak
Raw_Observation_009_Set1_512_1536.tiff,447,435,11,11,star
Raw_Observation_009_Set1_512_2048.tiff,444,0,12,4,star
Raw_Observation_009_Set1_512_2560.tiff,334,461,12,11,star
Raw_Observation_009_Set1_512_3072.tiff,449,457,11,11,star
Raw_Observation_009_Set1_512_3584.tiff,118,378,13,13,star
Raw_Observation_009_Set1_512_3584.tiff,0,448,11,12,star
Raw_Observation_009_Set1_1024_0.tiff,196,357,14,14,star
Raw_Observation_009_Set1_1024_1024.tiff,223,410,11,12,star
Raw_Observation_009_Set1_1024_2048.tiff,309,171,11,11,star
Raw_Observation_009_Set1_1024_2048.tiff,414,222,98,28,streak
Raw_Observation_009_Set1_1024_2560.tiff,0,222,8,28,streak
Raw_Observation_009_Set1_1024_3072.tiff,391,61,11,10,star
Raw_Observation_009_Set1_1024_3072.tiff,381,125,13,12,star
Raw_Observation_009_Set1_1024_3072.tiff,225,407,11,12,star
Raw_Observation_009_Set1_1536_2048.tiff,427,118,11,11,star
Raw_Observation_009_Set1_1536_2048.tiff,134,423,9,10,star
Raw_Observation_009_Set1_2048_512.tiff,171,445,10,11,star
Raw_Observation_009_Set1_2048_3072.tiff,158,413,13,13,star
Raw_Observation_009_Set1_2560_0.tiff,190,178,14,14,star
Raw_Observation_009_Set1_2560_1024.tiff,351,341,13,12,star
Raw_Observation_009_Set1_2560_1536.tiff,36,82,14,14,star
Raw_Observation_009_Set1_2560_2048.tiff,474,214,20,20,star
Raw_Observation_009_Set1_3072_512.tiff,413,432,17,17,star
Raw_Observation_009_Set1_3072_1536.tiff,275,206,11,11,star
Raw_Observation_009_Set1_3072_1536.tiff,52,292,15,15,star
Raw_Observation_009_Set1_3072_3584.tiff,195,330,19,18,star
Raw_Observation_009_Set1_3584_2048.tiff,368,194,15,15,star
Raw_Observation_009_Set1_3584_3072.tiff,92,159,17,16,star
Raw_Observation_009_Set1_4096_1536.tiff,373,54,16,16,star
Raw_Observation_010_Set1_0_1536.tiff,315,193,13,12,star
Raw_Observation_010_Set1_512_1024.tiff,64,265,20,19,star
Raw_Observation_010_Set1_512_1536.tiff,435,30,13,12,star
Raw_Observation_010_Set1_512_1536.tiff,455,189,23,8,streak
Raw_Observation_010_Set1_512_1536.tiff,485,453,11,11,star
Raw_Observation_010_Set1_512_2048.tiff,492,3,11,11,star
Raw_Observation_010_Set1_512_2560.tiff,389,479,12,12,star
Raw_Observation_010_Set1_512_3584.tiff,188,395,13,13,star
Raw_Observation_010_Set1_512_3584.tiff,67,467,12,11,star
Raw_Observation_010_Set1_512_3584.tiff,3,476,11,10,star
Raw_Observation_010_Set1_1024_0.tiff,200,382,15,15,star
Raw_Observation_010_Set1_1024_1024.tiff,247,437,12,12,star
Raw_Observation_010_Set1_1024_2048.tiff,354,194,11,10,star
Raw_Observation_010_Set1_1024_2560.tiff,138,223,110,29,streak
Raw_Observation_010_Set1_1024_3072.tiff,447,147,12,12,star
Raw_Observation_010_Set1_1024_3072.tiff,287,434,11,11,star
Raw_Observation_010_Set1_1536_2048.tiff,473,148,12,12,star
Raw_Observation_010_Set1_1536_2048.tiff,175,460,10,10,star
Raw_Observation_010_Set1_2048_512.tiff,184,492,11,10,star
Raw_Observation_010_Set1_2048_3072.tiff,219,459,13,13,star
Raw_Observation_010_Set1_2560_0.tiff,195,230,13,13,star
Raw_Observation_010_Set1_2560_1024.tiff,377,395,13,13,star
Raw_Observation_010_Set1_2560_1536.tiff,66,131,14,14,star
Raw_Observation_010_Set1_2560_2560.tiff,10,265,21,21,star
Raw_Observation_010_Set1_3072_512.tiff,431,497,17,15,star
Raw_Observation_010_Set1_3072_1536.tiff,309,267,12,11,star
Raw_Observation_010_Set1_3072_1536.tiff,82,355,16,15,star
Raw_Observation_010_Set1_3072_1536.tiff,400,486,10,10,star
Raw_Observation_010_Set1_3072_3584.tiff,266,393,19,19,star
Raw_Observation_010_Set1_3072_4096.tiff,56,187,9,10,star
Raw_Observation_010_Set1_3584_512.tiff,431,0,17,2,star
Raw_Observation_010_Set1_3584_2048.tiff,414,264,15,15,star
Raw_Observation_010_Set1_3584_3072.tiff,152,228,16,17,star
Raw_Observation_010_Set1_4096_1536.tiff,411,133,13,13,star
Raw_Observation_011_Set1_0_1536.tiff,317,192,11,11,star
Raw_Observation_011_Set1_512_1024.tiff,66,264,18,19,star
Raw_Observation_011_Set1_512_1536.tiff,437,29,11,11,star
Raw_Observation_011_Set1_512_1536.tiff,497,189,15,9,streak
Raw_Observation_011_Set1_512_1536.tiff,486,452,11,10,star
Raw_Observation_011_Set1_512_2048.tiff,494,2,10,10,star
Raw_Observation_011_Set1_512_2048.tiff,0,189,8,9,streak
Raw_Observation_011_Set1_512_2560.tiff,390,478,12,12,star
Raw_Observation_011_Set1_512_3584.tiff,189,394,13,13,star
Raw_Observation_011_Set1_512_3584.tiff,68,467,11,11,star
Raw_Observation_011_Set1_512_3584.tiff,4,475,11,11,star
Raw_Observation_011_Set1_1024_0.tiff,201,381,15,15,star
Raw_Observation_011_Set1_1024_1024.tiff,248,436,12,12,star
Raw_Observation_011_Set1_1024_2048.tiff,355,192,11,11,star
Raw_Observation_011_Set1_1024_2560.tiff,332,202,111,28,streak
Raw_Observation_011_Set1_1024_3072.tiff,448,146,11,12,star
Raw_Observation_011_Set1_1024_3072.tiff,287,433,12,12,star
Raw_Observation_011_Set1_1536_2048.tiff,474,148,12,12,star
Raw_Observation_011_Set1_1536_2048.tiff,175,459,11,10,star
Raw_Observation_011_Set1_2048_512.tiff,185,490,11,11,star
Raw_Observation_011_Set1_2048_3072.tiff,220,459,13,13,star
Raw_Observation_011_Set1_2560_0.tiff,196,228,13,13,star
Raw_Observation_011_Set1_2560_1024.tiff,378,394,13,13,star
Raw_Observation_011_Set1_2560_1536.tiff,66,130,15,15,star
Raw_Observation_011_Set1_2560_2560.tiff,10,265,21,20,star
Raw_Observation_011_Set1_2560_3072.tiff,469,85,10,10,star
Raw_Observation_011_Set1_3072_512.tiff,432,496,17,16,star
Raw_Observation_011_Set1_3072_1536.tiff,310,266,11,12,star
Raw_Observation_011_Set1_3072_1536.tiff,82,354,16,15,star
Raw_Observation_011_Set1_3072_1536.tiff,401,485,10,11,star
Raw_Observation_011_Set1_3072_3584.tiff,267,393,18,18,star
Raw_Observation_011_Set1_3072_4096.tiff,56,187,10,9,star
Raw_Observation_011_Set1_3584_2048.tiff,415,264,15,15,star
Raw_Observation_011_Set1_3584_3072.tiff,152,228,17,16,star
Raw_Observation_011_Set1_4096_1536.tiff,411,132,14,13,star
Raw_Observation_012_Set2_512_1024.tiff,444,383,20,21,star
Raw_Observation_012_Set2_1024_1024.tiff,417,340,11,11,star
Raw_Observation_012_Set2_1024_2048.tiff,294,339,16,16,star
Raw_Observation_012_Set2_1024_2048.tiff,222,384,21,21,star
Raw_Observation_012_Set2_1024_2560.tiff,305,241,11,11,star
Raw_Observation_012_Set2_1024_3072.tiff,404,28,13,13,star
Raw_Observation_012_Set2_1536_512.tiff,452,25,16,16,star
Raw_Observation_012_Set2_1536_1024.tiff,222,99,20,20,star
Raw_Observation_012_Set2_1536_1536.tiff,414,229,22,22,star
Raw_Observation_012_Set2_1536_2048.tiff,469,311,13,13,star
Raw_Observation_012_Set2_1536_3072.tiff,392,70,13,13,star
Raw_Observation_012_Set2_1536_4096.tiff,219,365,19,19,star
Raw_Observation_012_Set2_2048_1024.tiff,461,33,12,12,star
Raw_Observation_012_Set2_2048_1536.tiff,186,325,12,13,star
Raw_Observation_012_Set2_2560_1024.tiff,385,65,14,14,star
Raw_Observation_012_Set2_2560_2560.tiff,52,79,11,11,star
Raw_Observation_012_Set2_2560_4096.tiff,3,70,15,15,star
Raw_Observation_012_Set2_3072_0.tiff,359,195,11,11,star
Raw_Observation_012_Set2_3072_1024.tiff,7,141,11,10,star
Raw_Observation_012_Set2_3072_1024.tiff,161,168,15,15,star
Raw_Observation_012_Set2_3072_1536.tiff,408,57,10,10,star
Raw_Observation_012_Set2_3072_2048.tiff,277,329,13,14,star
Raw_Observation_012_Set2_3584_1024.tiff,422,8,18,17,star
Raw_Observation_012_Set2_3584_1536.tiff,471,112,12,12,star
Raw_Observation_012_Set2_3584_3072.tiff,358,372,12,12,star
Raw_Observation_012_Set2_3584_3584.tiff,214,160,13,12,star
